DATE,WTREGEN
2018-07-18,324.457
2018-07-25,348.886
2018-08-01,351.523
2018-08-08,326.471
2018-08-15,342.799
2018-08-22,348.393
2018-08-29,342.543
2018-09-05,323.764
2018-09-12,303.654
2018-09-19,335.878
2018-09-26,370.031
2018-10-03,368.007
2018-10-10,324.721
2018-10-17,332.923
2018-10-24,369.576
2018-10-31,373.368
2018-11-07,319.984
2018-11-14,341.094
2018-11-21,330.202
2018-11-28,340.596
2018-12-05,337.564
2018-12-12,334.967
2018-12-19,350.714
2018-12-26,374.085
2019-01-02,379.902
2019-01-09,356.698
2019-01-16,351.18
2019-01-23,389.626
2019-01-30,403.276
2019-02-06,352.375
2019-02-13,359.109
2019-02-20,333.896
2019-02-27,310.574
2019-03-06,220.045
2019-03-13,245.972
2019-03-20,303.623
2019-03-27,310.868
2019-04-03,310.188
2019-04-10,262.617
2019-04-17,285.264
2019-04-24,378.602
2019-05-01,400.498
2019-05-08,348.357
2019-05-15,323.786
2019-05-22,282.864
2019-05-29,247.777
2019-06-05,223.638
2019-06-12,187.56
2019-06-19,198.398
2019-06-26,248.302
2019-07-03,245.306
2019-07-10,211.115
2019-07-17,197.005
2019-07-24,193.362
2019-07-31,163.763
2019-08-07,131.704
2019-08-14,129.957
2019-08-21,125.725
2019-08-28,145.957
2019-09-04,148.74
2019-09-11,185.342
2019-09-18,250.226
2019-09-25,314.189
2019-10-02,335.171
2019-10-09,318.191
2019-10-16,324.604
2019-10-23,377.985
2019-10-30,389.872
2019-11-06,377.029
2019-11-13,381.955
2019-11-20,368.813
2019-11-27,360.941
2019-12-04,346.971
2019-12-11,326.865
2019-12-18,332.592
2019-12-25,367.82
2020-01-01,382.553
2020-01-08,367.002
2020-01-15,350.987
2020-01-22,403.941
2020-01-29,432.061
2020-02-05,413.322
2020-02-12,411.237
2020-02-19,428.805
2020-02-26,439.365
2020-03-04,374.515
2020-03-11,380.556
2020-03-18,362.576
2020-03-25,390.252
2020-04-01,429.267
2020-04-08,698.578
2020-04-15,889.815
2020-04-22,901.331
2020-04-29,997.507
2020-05-06,1127.49
2020-05-13,1177.494
2020-05-20,1194.41
2020-05-27,1310.491
2020-06-03,1434.823
2020-06-10,1506.558
2020-06-17,1560.85
2020-06-24,1623.942
2020-07-01,1657.62
2020-07-08,1653.098
2020-07-15,1655.32
2020-07-22,1804.944
2020-07-29,1816.687
2020-08-05,1745.228
2020-08-12,1669.733
2020-08-19,1643.505
2020-08-26,1622.69
2020-09-02,1639.159
2020-09-09,1611.083
2020-09-16,1614.855
2020-09-23,1680.688
2020-09-30,1679.152
2020-10-07,1697.074
2020-10-14,1680.998
2020-10-21,1724.792
2020-10-28,1680.933
2020-11-04,1621.346
2020-11-11,1600.837
2020-11-18,1556.892
2020-11-25,1517.215
2020-12-02,1531.053
2020-12-09,1534.243
2020-12-16,1529.698
2020-12-23,1602.407
2020-12-30,1591.055
2021-01-06,1669.327
2021-01-13,1589.421
2021-01-20,1626.906
2021-01-27,1633.54
2021-02-03,1625.325
2021-02-10,1608.906
2021-02-17,1567.041
2021-02-24,1529.977
2021-03-03,1429.549
2021-03-10,1360.064
2021-03-17,1272.583
2021-03-24,1061.138
2021-03-31,1025.727
2021-04-07,1010.103
2021-04-14,925.094
2021-04-21,1015.902
2021-04-28,967.689
2021-05-05,953.689
2021-05-12,898.779
2021-05-19,866.119
2021-05-26,812.473
2021-06-02,783.235
2021-06-09,730.235
2021-06-16,653.889
2021-06-23,734.689
2021-06-30,745.962
2021-07-07,753.364
2021-07-14,704.918
2021-07-21,678.103
2021-07-28,578.204
2021-08-04,492.668
2021-08-11,434.919
2021-08-18,338.808
2021-08-25,301.43
2021-09-01,277.65
2021-09-08,253.496
2021-09-15,230.328
2021-09-22,308.022
2021-09-29,197.744
2021-10-06,135.582
2021-10-13,77.858
2021-10-20,83.386
2021-10-27,213.291
2021-11-03,280.205
2021-11-10,259.293
2021-11-17,211.453
2021-11-24,164.087
2021-12-01,152.651
2021-12-08,115.117
2021-12-15,104.798
2021-12-22,84.954
2021-12-29,211.849
2022-01-05,389.751
2022-01-12,456.401
2022-01-19,488.697
2022-01-26,614.877
2022-02-02,675.773
2022-02-09,686.384
2022-02-16,692.541
2022-02-23,697.838
2022-03-02,682.903
2022-03-09,652.039
2022-03-16,570.606
2022-03-23,614.616
2022-03-30,575.065
2022-04-06,574.451
2022-04-13,547.308
2022-04-20,711.406
2022-04-27,944.328
2022-05-04,945.478
2022-05-11,945.658
2022-05-18,886.964
2022-05-25,821.535
2022-06-01,789.532
2022-06-08,723.384
2022-06-15,656.87
2022-06-22,758.283
2022-06-29,756.627
2022-07-06,700.457
2022-07-13,652.572
2022-07-20,613.878
2022-07-27,602.945
2022-08-03,594.115
2022-08-10,557.265
2022-08-17,545.321
2022-08-24,535.267
2022-08-31,612.536
2022-09-07,581.295
2022-09-14,593.808
2022-09-21,692.496
2022-09-28,689.569
2022-10-05,633.939
2022-10-12,608.302
2022-10-19,607.199
2022-10-26,634.548
2022-11-02,598.544
2022-11-09,527.479
2022-11-16,502.982
2022-11-23,479.474
2022-11-30,511.474
2022-12-07,432.335
2022-12-14,355.517
2022-12-21,459.78
2022-12-28,427.926
2023-01-04,423.625
2023-01-11,372.34
2023-01-18,339.018
2023-01-25,491.848
2023-02-01,560.089
2023-02-08,493.277
2023-02-15,490.379
2023-02-22,477.333
2023-03-01,381.245
2023-03-08,333.35
2023-03-15,232.866
2023-03-22,259.587
2023-03-29,183.577
2023-04-05,168.793
2023-04-12,109.208
2023-04-19,166.555
2023-04-26,291.702
2023-05-03,269.216
2023-05-10,197.666
2023-05-17,116.22
2023-05-24,61.952
2023-05-31,48.954
2023-06-07,44.756
2023-06-14,102.118
2023-06-21,276.85
2023-06-28,390.571
2023-07-05,415.441
2023-07-12,514.337
